SPECIES,QUAD,XCO,YCO,DBH2013,DBH2015,DBH2017,DBH2019,DBH2021,GROWTH1315,GROWTH1517,GROWTH1719,GROWTH1921,DBH2021PREDICTED,GROWTH2123,DBH2023IMPUTED,CLASS2013,CLASS2015,CLASS2017,CLASS2019,CLASS2021,CLASS2023,,0,0
DACRR1,1,9.7,10.9,20.4,19.8,20.2,20,20.1,-0.6,0.4,-0.2,0.1,,-0.1,20,4,3,4,4,4,4,,1,1
KOOMMA,1,10.7,11.6,99,99,99,99.3,99.3,0,0,0.3,0,,0.1,99.4,9,9,9,9,9,9,,5,2
NAUCOF,1,10.5,11.8,0,11,11.4,12,12.8,11,0.4,0.6,0.8,,0.6,13.4,0,3,3,3,3,3,,10,3
SHORL1,1,3.9,10.8,20.5,22.9,24.9,26,27.4,2.4,2,1.1,1.4,,1.7,29.1,4,4,4,4,4,4,,20,4
GREWMI,1,1.6,13.7,22.4,23.8,24.3,24.8,25.7,1.4,0.5,0.5,0.9,,0.8,26.5,4,4,4,4,4,4,,30,5
ARTOIS,1,19.5,12.2,0,13.6,14.2,14.6,14.7,13.6,0.6,0.4,0.1,,0.4,15.1,0,3,3,3,3,3,,40,6
APORCO,1,19.1,12,0,12.7,13.3,13.8,12.8,12.7,0.6,0.5,-1,,0,12.8,0,3,3,3,3,3,,50,7
SHORM1,1,18.2,12.8,0,11.7,12.9,13.6,13.3,11.7,1.2,0.7,-0.3,,0.5,13.8,0,3,3,3,3,3,,60,8
ALANRI,1,19,11.2,16.4,16.4,16.6,16.5,15.4,0,0.2,-0.1,-1.1,,-0.3,15.1,3,3,3,3,3,3,,70,9
PORTAN,1,19.1,10.6,0,12.8,13.1,13.1,12.4,12.8,0.3,0,-0.7,,-0.1,12.3,0,3,3,3,3,3,,,
SHORP2,1,18.6,19,0,0,12.8,12.9,13.1,0,12.8,0.1,0.2,,0.2,13.3,0,0,3,3,3,3,,,
DIPTC1,1,19.7,10.6,28.4,28.2,28.7,30.3,30,-0.2,0.5,1.6,-0.3,,0.4,30.4,4,4,4,5,5,5,,,
MACALO,1,20,10.5,0,12.6,12.6,12.4,12.6,12.6,0,-0.2,0.2,,0,12.6,0,3,3,3,3,3,,,
EUGEFL,1,14.3,6.4,39.8,39.1,39.8,40.3,39.1,-0.7,0.7,0.5,-1.2,,-0.2,38.9,5,5,5,6,5,5,,,
XERONO,1,14.5,7.5,0,13.1,13.2,13.3,13.4,13.1,0.1,0.1,0.1,,0.1,13.5,0,3,3,3,3,3,,,
APORBR,1,16,8,0,13.2,13.5,14.4,13.6,13.2,0.3,0.9,-0.8,,0.1,13.7,0,3,3,3,3,3,,,
CROTLA,1,15.6,6.4,0,10.9,11.1,11.4,11.4,10.9,0.2,0.3,0,,0.2,11.6,0,3,3,3,3,3,,,
PTYCCO,1,15.6,1.1,15,13.3,13.3,13.3,13.6,-1.7,0,0,0.3,,-0.4,13.2,3,3,3,3,3,3,,,
DIPTC1,1,15.7,0.7,31.1,31.8,32.8,34.1,35.7,0.7,1,1.3,1.6,,1.2,36.9,5,5,5,5,5,5,,,
DIOSNU,1,16.2,0.5,0,11,11.2,11.3,11.6,11,0.2,0.1,0.3,,0.2,11.8,0,3,3,3,3,3,,,
KNEMMA,1,14.6,0,26.5,25.9,25.9,25.7,26,-0.6,0,-0.2,0.3,,-0.1,25.9,4,4,4,4,4,4,,,
ARCHDI,1,8.5,1.2,17.9,18.4,18.5,18.7,19.4,0.5,0.1,0.2,0.7,,0.4,19.8,3,3,3,3,3,3,,,
XYLOM2,1,8.8,1.4,14.2,14.6,16.5,14.6,14.9,0.4,1.9,-1.9,0.3,,0.2,15.1,3,3,3,3,3,3,,,
SHORM1,2,32.3,2.8,60.6,61.5,61.7,62.6,62.6,0.9,0.2,0.9,0,63,0.5,63.1,8,8,8,8,8,8,,,
SANTAP,2,31,1.2,0,11.2,12.7,12.9,13,11.2,1.5,0.2,0.1,,0.6,13.6,0,3,3,3,3,3,,,
HORSCR,2,28.5,1,0,11.2,11.8,11.9,12.1,11.2,0.6,0.1,0.2,,0.3,12.4,0,3,3,3,3,3,,,
DACRR1,2,33.5,0.4,12.3,12.3,12,11.9,12.1,0,-0.3,-0.1,0.2,,-0.1,12,3,3,3,3,3,3,,,
CLE1SU,2,33.7,2,16.2,16.1,16.1,16.1,16.6,-0.1,0,0,0.5,,0.1,16.7,3,3,3,3,3,3,,,
DACRR1,2,29.7,8.9,14.6,13.7,13.9,14.2,14.6,-0.9,0.2,0.3,0.4,,0,14.6,3,3,3,3,3,3,,,
DACRR1,2,22.5,6.6,17.1,17,17.1,17.1,17.2,-0.1,0.1,0,0.1,17.5,0,17.2,3,3,3,3,3,3,,,
APORBR,2,24.1,7.1,0,12.2,12,12.3,12.5,12.2,-0.2,0.3,0.2,13,0.1,12.6,0,3,3,3,3,3,,,
SHORP1,2,23.5,7,0,10.8,11.8,11.7,12,10.8,1,-0.1,0.3,,0.4,12.4,0,3,3,3,3,3,,,
NEPHOP,2,21.4,6.2,0,0,11,12.1,12.7,0,11,1.1,0.6,,0.9,13.6,0,0,3,3,3,3,,,
HERISI,2,32.1,17.4,11.4,11.3,11.5,11.4,11.5,-0.1,0.2,-0.1,0.1,,0,11.5,3,3,3,3,3,3,,,
CHISTO,2,34,19.5,13.2,13.2,13.5,13.9,13.7,0,0.3,0.4,-0.2,,0.1,13.8,3,3,3,3,3,3,,,
POMEPA,2,37.4,8.1,58.9,47.1,47.1,48.9,48.9,-11.8,0,1.8,0,,-2.5,46.4,7,6,6,6,6,6,,,
PIMEGR,2,38.2,9.6,0,0,14.6,15,15.7,0,14.6,0.4,0.7,,0.6,16.3,0,0,3,3,3,3,,,
DACRR1,2,36,7.3,18.2,18.6,18.6,18.8,19,0.4,0,0.2,0.2,,0.2,19.2,3,3,3,3,3,3,,,
ANI2CO,2,37.1,10.2,0,14.5,14.5,14.7,14.8,14.5,0,0.2,0.1,,0.1,14.9,0,3,3,3,3,3,,,
SANTLA,2,35.3,9.8,0,10.9,11,10.8,11,10.9,0.1,-0.2,0.2,11.4,0,11,0,3,3,3,3,3,,,
CLE1SU,3,45,2.7,23.2,23.4,23.3,23.2,23.4,0.2,-0.1,-0.1,0.2,,0,23.4,4,4,4,4,4,4,,,
CYNOMA,3,42.5,4.2,0,13.3,14.2,13.6,13.8,13.3,0.9,-0.6,0.2,,0.2,14,0,3,3,3,3,3,,,
DIPLMA,3,41.4,7,0,0,10.5,11,11.2,0,10.5,0.5,0.2,,0.4,11.6,0,0,3,3,3,3,,,
EUGETU,3,46.2,7.2,0,0,10.7,11.6,13.5,0,10.7,0.9,1.9,,1.4,14.9,0,0,3,3,3,3,,,
MANGQU,3,43.2,12.9,15.6,15.9,17,17.2,17.3,0.3,1.1,0.2,0.1,17.6,0.4,17.7,3,3,3,3,3,3,,,
DIALPL,3,44.7,11.4,22.7,24.7,25.1,25.9,27.2,2,0.4,0.8,1.3,,1.1,28.3,4,4,4,4,4,4,,,
GANUSN,3,40.4,13.4,13.3,13.3,13.5,13.5,13.6,0,0.2,0,0.1,,0.1,13.7,3,3,3,3,3,3,,,
CLE1SU,3,48,15,11.4,11.6,11.6,12.4,11.7,0.2,0,0.8,-0.7,,0.1,11.8,3,3,3,3,3,3,,,
MYRICI,3,49.5,15.8,0,10.7,11,11,11,10.7,0.3,0,0,,0.1,11.1,0,3,3,3,3,3,,,
GARCNE,3,47.3,15.8,0,0,10.2,11.5,11.4,0,10.2,1.3,-0.1,11.9,0.6,12,0,0,3,3,3,3,,,
IXONIC,3,48.9,13.7,37.3,37.9,38.1,38.8,39.6,0.6,0.2,0.7,0.8,,0.6,40.2,5,5,5,5,5,6,,,
EUGEIN,3,52.3,11.4,16.8,25.2,25.7,25.8,26.1,8.4,0.5,0.1,0.3,,2.3,28.4,3,4,4,4,4,4,,,
OCHAAM,3,48.7,11.8,17.9,17.9,18.3,18.4,18.8,0,0.4,0.1,0.4,,0.2,19,3,3,3,3,3,3,,,
BUCHSE,3,49,12,17,17.2,18,18.5,19.2,0.2,0.8,0.5,0.7,,0.6,19.8,3,3,3,3,3,3,,,
GREWMI,3,48,12,0,11.9,12,12.9,12.2,11.9,0.1,0.9,-0.7,,0.1,12.3,0,3,3,3,3,3,,,
SAR1GR,3,55.6,16.1,111.9,111.9,111.9,112.4,112.4,0,0,0.5,0,112.8,0.1,112.5,9,9,9,9,9,9,,,
RYPAKU,3,56.2,17,0,15,15.8,16,16.2,15,0.8,0.2,0.2,,0.4,16.6,0,3,3,3,3,3,,,
PAYELU,3,56.6,16.5,0,12.5,13.1,13.2,13.6,12.5,0.6,0.1,0.4,,0.4,14,0,3,3,3,3,3,,,
CLE1SU,3,58,12.2,14.2,14.1,14.1,14.9,13.9,-0.1,0,0.8,-1,,-0.1,13.8,3,3,3,3,3,3,,,
PORTAN,3,58.8,11.4,21.1,21.4,21.8,22.2,22.4,0.3,0.4,0.4,0.2,22.5,0.3,22.7,4,4,4,4,4,4,,,
