SPECIES,XCO,YCO,DBH2021,GROWTH1921,CLASS2021
APORCO,19.1,12,12.8,-1,3
SHORM1,18.2,12.8,13.3,-0.3,3
ALANRI,19,11.2,15.4,-1.1,3
PORTAN,19.1,10.6,12.4,-0.7,3
APORBR,16,8,13.6,-0.8,3
CROTLA,15.6,6.4,11.4,0,3
CHISTO,34,19.5,13.7,-0.2,3
CLE1SU,48,15,11.7,-0.7,3
MYRICI,49.5,15.8,11,0,3
GARCNE,47.3,15.8,11.4,-0.1,3
GREWMI,48,12,12.2,-0.7,3
CLE1SU,58,12.2,13.9,-1,3
CLE1SU,65.5,4.9,14.9,0,3
DACRRI,71,7.6,20.8,-0.8,4
SHORL1,68.7,18.9,14.5,-25.5,3
MACALO,67.9,16.5,11,0,3
DIPLMA,62,15.7,11,0,3
XANTEU,78.8,14.1,14.8,0,3
LITHEW,79.3,7,21,0,4
OCHAAM,95.6,17.4,14.9,-4.8,3
DILLSU,90,19,13,-0.6,3
ELATTA,96.1,2.3,11.2,-0.1,3
POL1JE,93.2,2.3,18.7,-0.8,3
PAR1OB,85.1,39.4,26.5,0,4
ARDICO,86,39,15.2,0,3
NEOBHE,93,36.6,17.1,-0.3,3
SANTLA,93.6,29.9,18.1,-0.4,3
ARTOIS,94,28.5,15.5,-0.2,3
MACALO,94.8,26,12.4,0,3
SHORL1,54.5,22.5,15.5,-1.7,3
DURIGR,56.5,30,11.8,-0.1,3
KOKOOC,23.2,26.6,12.4,0,3
DIALPA,5.1,57.3,17.5,0,3
CANALT,24.8,42.3,15.2,0,3
SHORM2,27.4,42.4,18.8,0,3
PTYCCO,45.4,59.7,12.3,-0.4,3
MANGQU,76.7,44.2,15.1,-0.1,3
GARCMA,84.4,59.2,11.4,-0.2,3
MEMEO1,81,62,14.8,-1.1,3
XANTEU,90.4,70.2,12.5,-1.9,3
MONOMA,95.6,60.2,14.4,0,3
ELAENI,91.8,68.4,28.3,0,4
CYATRA,69.5,60.7,23.8,-9.3,4
MILLAT,62.2,78.4,12.4,-0.1,3
CANTDI,63.8,78.1,20.6,-0.1,4
EUGEPU,71.8,68.2,14.9,0,3
MONOMA,54,71.4,26.9,-7.9,4
ANTICO,57.8,73.4,20.3,-0.3,4
ARTOLO,55.1,76.2,20.1,0,4
ARTOKE,26.2,75.4,11.2,0,3
POPOTC,9.8,64,15.4,0,3
MACACO,6.1,69.2,16,0,3
ALANRI,13.6,60.9,19,0,3
CYNOMA,5,84.2,10,-0.7,3
MEMEEX,0.6,83.5,11.1,-0.1,3
ARTOSC,6.1,97.6,18.7,0,3
EUGEGR,15.7,83.2,24.3,0,4
APORBR,35.5,90,12.4,0,3
MEL1AN,44.2,80.6,11,0,3
DACRR1,45,99.4,20.1,-1,4
MONOMA,53.5,99.8,11.3,-0.1,3
PAYELU,54.2,84.1,14.4,0,3
XANTEU,64.4,99.5,13.2,0,3
NAUCOF,73.8,81,12.3,0,3
ELAEP3,93.5,85,13.2,0,3
APORBR,96,83.5,10.4,0,3
ELLATA,80.4,93.4,11,0,3
INTSPA,91.4,93.7,23.8,-0.1,4
POL1GL,95.9,108.8,28.9,-1.7,4
ALANRI,64.2,104.1,13.1,0,3
DACRR1,62.2,101.8,10.7,0,3
SHORM2,68.3,104.2,26.4,-0.7,4
LEPISE,71.6,115.2,29.8,-0.5,4
SHORM2,44.3,115.9,14.8,0,3
RYPAKU,48.4,111.4,12.2,-0.2,3
DACRR1,31.8,100.1,19.3,0,3
XANTEU,35.1,115.3,12.6,0,3
DURIGR,3.2,102.9,28.7,-0.2,4
MEMEMI,11.5,138.2,10.6,-0.2,3
KIBAMA,15.4,137.2,12.1,-2.4,3
