QUAD,SP,XCO,YCO
1,SHORP2,1.8,5
1,MESURA,3.3,5
1,CANAPA,6,1.8
1,PAYELU,7.9,4.7
1,GIROPA,7.6,6.9
1,MACALO,9.5,6.8
1,DACRR1,9.7,10.9
1,MACALO,0,0
1,KOOMMA,10.7,11.6
1,NAUCOF,10.5,11.8
1,SHORL1,3.9,10.8
1,APORPR,4,12.7
1,GREWMI,1.6,13.7
1,MACALO,3.6,10.6
1,EUGEPE,2.3,11.3
1,RYPAKU,2.4,18.2
1,EUGEDE,8.3,15.9
1,AAAAAA,0,0
1,IXONIC,9.2,17.8
1,APORPE,6.7,17.6
1,APORPE,0,0
1,GANUSN,17.9,12.4
1,XYLOM1,18,14.2
1,ARTOIS,19.5,12.2
1,APORCO,19.1,12
1,SHORM1,18.2,12.8
1,ALANRI,19,11.2
1,PORTAN,19.1,10.6
1,SHORP2,18.6,19
1,DIPTC1,19.7,10.6
1,MACALO,20,10.5
1,LITHCU,17.5,4
1,BUCHSE,15.4,6.1
1,EUGEFL,14.3,6.4
1,XERONO,14.5,7.5
1,APORBR,16,8
1,CROTLA,15.6,6.4
1,PTYCCO,15.6,1.1
1,DIPTC1,15.7,0.7
1,DIOSNU,16.2,0.5
1,KNEMMA,14.6,0
1,KOOMMA,10.4,0.2
1,ARCHDI,8.5,1.2
1,XYLOM2,8.8,1.4
2,MANGQU,31.1,2.5
2,OCHAAM,22.8,1.3
2,AAAAAA,0,0
2,EUGECL,27.8,3.8
2,SHORM1,32.3,2.8
2,SANTAP,31,1.2
2,HORSCR,28.5,1
2,CALODI,32.5,4.3
2,DACRR1,33.5,0.4
2,CLE1SU,33.7,2
2,IXONIC,28.4,7.7
2,DACRR1,29.7,8.9
2,DACRR1,22.5,6.6
2,DACRR1,23.1,6.7
2,APORBR,24.1,7.1
2,SHORP1,23.5,7
2,ARTOIS,21.1,8.6
2,NEPHOP,21.4,6.2
2,AAAAAA,0,0
2,NEOSKI,29.3,16.5
2,POL1HY,30.8,15.3
2,HERISI,32.1,17.4
2,CHISTO,34,19.5
2,DIPTC1,33.2,19
2,DIPTC1,36.8,19.3
2,MACALO,39.4,17.2
2,CALODI,39.6,15
2,EUGERI,37.8,12.8
2,GARCRO,37.1,13.5
2,POMEPA,37.4,8.1
2,PIMEGR,38.2,9.6
2,DACRR1,36,7.3
2,ANI2CO,37.1,10.2
2,SANTLA,35.3,9.8
2,ACROPO,36.1,4.7
2,GLUTEL,39.9,2.7
2,DACRRO,39.5,1.7
3,CRY1GR,42.3,2.2
3,CLE1SU,45,2.7
3,ADENBI,46.9,6.1
3,APORPR,0,0
3,CYNOMA,42.5,4.2
3,DIPLMA,41.4,7
3,EUGETU,46.2,7.2
3,MACALO,42.4,12.8
3,MANGQU,43.2,12.9
3,CLE1SU,0,0
3,DIALPL,44.7,11.4
3,GANUSN,40.4,13.4
3,CALODI,42,14.8
3,DACRR1,42.8,17.2
3,SHORP1,44.4,18.3
3,EUGEC1,45,16.9
3,CLE1SU,48,15
3,MYRICI,49.5,15.8
3,GARCNE,47.3,15.8
3,IXONIC,48.9,13.7
3,EUGEIN,52.3,11.4
3,OCHAAM,48.7,11.8
3,BUCHSE,49,12
3,GREWMI,48,12
3,SAR1GR,55.6,16.1
3,RYPAKU,56.2,17
3,PAYELU,56.6,16.5
3,CLE1SU,58,12.2
3,PORTAN,58.8,11.4
3,CARABR,58.4,7.9
3,NEOBHE,56.7,4.5
3,BEILL1,55.2,2.2
3,MACALO,55,0.6
4,DIPTC1,63.4,0.4
4,POMEPA,61,3.5
4,SCA1SP,69.5,1.8
4,ALPHEL,61.8,3.3
4,GIRONE,60.9,4.8
4,OCHAAM,63.6,6.1
4,CLE1SU,65.5,4.9
4,GIRONE,67.5,4.9
4,SHORP2,70.5,6
4,GREWMI,71.6,6.5
4,SHORM1,73.8,6.1
4,SHOROV,74.2,3.5
4,KNEMSC,68.2,6.5
4,APORPR,69.4,7.2
4,DACRRI,71,7.6
4,LITHEW,71.5,7
4,CASTME,68.4,9.1
4,ALPHMA,71.2,11
4,XANTEU,71.1,14.3
4,ALPHMA,67.7,15.7
4,SHORL1,68.7,18.9
4,SHORAC,69.1,17.1
4,ARCHDU,67.8,16.1
4,MACALO,67.9,16.5
4,DIOSRU,66.5,15.2
4,PORTAN,65,16.8
4,MACALO,63.4,19
4,DIOSS1,61.1,17.2
4,DIPLMA,62,15.7
4,RYPAKU,76.7,13.1
4,XANTEU,78.8,14.1
4,PIMEGR,79,13.3
4,DIPTC1,79.5,12.4
4,SHORAC,78.5,10.2
4,ARCHBU,72.9,7.9
4,LITHEW,79.3,7
4,CLE1SU,77.9,4.6
4,KNEMLA,80,3.6
4,ARCHBU,79,1.4
4,ALANEB,79.2,1
4,SHORP1,76,0.4
5,QUERAR,85.1,5.4
5,DIPTC1,86.6,5.5
5,RYPAKU,89.7,5.8
5,CLE1SU,85.9,8.9
5,IXONIC,84,7.3
5,DIOSAP,81,5.4
5,VATIBE,85.6,13.7
5,MACALO,82.7,14.7
5,MANGG1,85,16.3
5,MACALO,82,19.8
5,MACALO,86.7,16.8
5,DACRR2,92.2,17.2
5,OCHAAM,95.6,17.4
5,MACALO,95,18.2
5,ALANEB,95.4,17.2
5,OCHAAM,92,0.4
5,SCOLSP,96.5,15.2
5,KOILLO,94.2,11.7
5,HORSPS,0,0
5,DACRR2,98.1,16.3
5,QUERAR,98,17.1
5,SHORP2,99.1,19.4
5,DILLSU,90,19
5,SCA1SP,98.4,7.7
5,ATUNEX,96.7,3.3
5,SHORP2,97.4,2.1
5,ELATTA,96.1,2.3
5,PARKSP,99.2,3.5
5,RYPAAC,93.7,4.3
5,POL1JE,93.2,2.3
5,MONOMA,0,0
5,DIOSSU,92.5,1.2
5,DIOSBU,91.2,0.5
6,KOOMMA,80.5,21
6,DIOSLA,81.6,20.6
6,GONYMA,84.7,22.3
6,SHORM2,86.6,24.5
6,SHORP2,85.8,25.5
6,ANTICO,81.1,27.4
6,CRY1GR,80.3,26.9
6,MACALO,83.2,29.4
6,MYRIM1,82.4,30.2
6,XANTRU,80.8,28.2
6,MACAHY,81.8,30.5
6,CROTLA,81.6,28
6,MACALO,86.7,29.3
6,BHESPA,89.1,29.5
6,MACACO,81.2,22.2
6,KNEMFU,86.7,30.2
6,NEOSKI,88.4,32.1
6,MACAHY,89.3,31
6,MEL1FU,89.2,32.7
6,AIDICO,89.8,34.2
6,MESUFE,86.8,32.4
6,SCA2LI,86.4,33
6,DACRR1,0,0
6,EUGECL,86.9,33.8
6,XANTRU,82.9,34.9
6,XANTEU,82.4,35.7
6,PAROVA,85.3,38.4
6,GARCPA,0,0
6,PAR1OB,85.1,39.4
6,ARDICO,86,39
6,DIPTC1,86,39.2
6,DIPLMA,89.3,37.7
6,SCA1SP,89.5,36.5
6,NEOBHE,93,36.6
6,KNEMSC,81.6,38.5
6,NEOBHE,81.7,39
6,CANALL,81.2,39.7
6,MEL1FU,92.4,35
6,MEMEO2,93.2,39.8
6,CYATRA,96.9,37.7
6,XYLOM2,98.6,36.9
6,DYERCO,97.8,34.7
6,EUGESA,98.1,34.2
6,POL1SU,98.3,31.5
6,BEILDI,97.4,31.2
6,SANTLA,93.6,29.9
6,ARTOIS,94,28.5
6,MACALO,94.8,26
6,ARCHBU,97.1,26.6
6,SANTLA,98.9,23.6
6,GARCMA,99,22.1
6,DIPTC1,99.5,26.4
6,DRYPKI,99.7,21
6,SANTLA,98.2,20.3
6,GARCPA,99.6,20.4
6,MESURA,94.5,20.7
6,POL1SU,93.4,22.8
6,EUGERI,93.5,25.4
6,XERONO,91.3,21.9
6,MACALO,89.4,23.7
7,BOUEOP,62.9,22.2
7,SANDKO,63.7,22
7,IXONIC,64.4,23.5
7,XANTEU,71,25.2
7,GONYMA,0,0
7,SHORM2,62.6,27
7,DACRRO,62.2,25.4
7,SHORP1,64.6,26
7,CROTLA,64.7,30.9
7,IXONIC,64.1,33.5
7,XERONO,66.2,33.9
7,ALPHEL,71.1,34.1
7,DIALWA,70.5,35.3
7,BACCRE,66.4,38.1
7,ARTOIS,68.3,38.9
7,KNEMLA,72.5,38.5
7,AIDICO,69.1,39.2
7,DACRLA,70.8,34.6
7,EUGEPR,74,32.8
7,BACCRE,74.8,35.2
7,PTYCCO,77,38.9
7,LANSDO,77.6,36.2
7,DURIGR,77.4,32.1
7,LEPISE,78.3,30.7
7,EUGEKO,74.6,26.7
7,EUGETU,71.8,27.4
7,TRI3MA,72,28.6
7,SHORL1,72,27
7,DACRR1,77.9,24.6
7,PALAH2,78.3,22.1
7,NEPHCO,78,21
7,SANTLA,79.5,20.4
7,SHORL1,76.5,20.8
7,MILLAT,74.5,20.3
8,SHORP1,47.1,23.6
8,PORTAN,0,0
8,SANTLA,48.5,22
8,DIOSAP,44.6,26.3
8,XANTEU,47.4,27.3
8,ALPHEL,48.2,30.2
8,DACRR1,44.6,29
8,IXONIC,50,30.3
8,NAUCOF,40.9,36.9
8,EUGECL,40.6,32.1
8,STERPA,41.4,35.4
8,PIMEGR,40.8,34.8
8,EUGERI,40.5,30.8
8,MONOMA,44.5,36.9
8,IXONIC,41.6,39
8,VATIBE,45.4,37
8,SHORM2,46,38.2
8,CROTLA,47.2,38.5
8,SHORL2,49,38.9
8,SHORL1,48.8,38.5
8,NEPHER,51,38
8,EUGEDE,52,34.4
8,CHISER,52.7,34.3
8,HOPEME,54.1,35.2
8,XANTEU,55.9,32
8,MEMEO2,57.9,33.6
8,MESURA,59.9,36.4
8,GIROPA,55.2,39.1
8,APORPR,0,0
8,KOOMMA,56.7,36.4
8,SHORL1,54.5,22.5
8,SHORL1,55.7,22.5
8,SHORL1,55.4,36.6
8,CALODI,57,26.7
8,SHORP1,56.2,28.4
8,DURIGR,56.5,30
8,ELAERU,50.3,26
8,CALODI,58.3,22
8,HERISI,51,21.5
8,APORAR,49.5,21
9,EUGEDE,26.4,20.2
9,PAYEMA,20.1,20
9,PAYELU,31.3,20.8
9,SHORL1,26,24.7
9,PAYEMA,27.7,24.2
9,HOPEME,0,0
9,CYNOMA,25.5,27.9
9,SYMPC2,20.4,28.7
9,KOKOOC,23.2,26.6
9,RYPAKU,21.5,32.9
9,CROTLA,21.8,31
9,ATUNEX,24,34.7
9,LEPISE,24.3,36.9
9,SHORAC,22,38.4
9,LITSM2,28.2,39.2
9,EUGEDE,29.5,34.6
9,LITHWA,30.7,34.1
9,MANGQU,35.8,38.7
9,ELAENI,36.8,33.4
9,BUCHSE,37.3,33.7
