TAG,SP,QUAD,XCO,YCO,D12,D15,D17,D19,D21,D23 (Predicted)
2321,GIROPA,1,7.6,6.9,11.4,11.5,11.6,0,0,0.761359315
2323,DACRR1,1,9.7,10.9,20.4,19.8,20.2,20,20.1,21.88182239
2324,KOOMMA,1,10.7,11.6,99,99,99,99.3,99.3,100.8947253
2324A,NAUCOF,1,10.5,11.8,0,11,11.4,12,12.8,13.49089522
2325,SHORL1,1,3.9,10.8,20.5,22.9,24.9,26,27.4,28.04770596
2325A,APORPR,1,4,12.7,11.3,0,0,0,0,2.311790817
2325B,GREWMI,1,1.6,13.7,22.4,23.8,24.3,24.8,25.7,26.61486036
2325C,MACALO,1,3.6,10.6,0,11.5,11.9,0,0,0.127918581
2329,IXONIC,1,9.2,17.8,40.2,40.1,0,0,0,-0.608744883
2329A,APORPE,1,6.7,17.6,13.9,0,0,0,0,2.110093611
2330A,XYLOM1,1,18,14.2,27.2,26.6,0,0,0,0.169486759
2330B,ARTOIS,1,19.5,12.2,0,13.6,14.2,14.6,14.7,15.76086887
2330C,APORCO,1,19.1,12,0,12.7,13.3,13.8,12.8,15.01566214
2330D,SHORM1,1,18.2,12.8,0,11.7,12.9,13.6,13.3,14.87660558
2331,ALANRI,1,19,11.2,16.4,16.4,16.6,16.5,15.4,18.11851049
2331A,PORTAN,1,19.1,10.6,0,12.8,13.1,13.1,12.4,14.27753395
2331B,SHORP2,1,18.6,19,0,0,12.8,12.9,13.1,14.85505575
2332,DIPTC1,1,19.7,10.6,28.4,28.2,28.7,30.3,30,32.09523365
2332A,MACALO,1,20,10.5,0,12.6,12.6,12.4,12.6,13.60922939
2335,EUGEFL,1,14.3,6.4,39.8,39.1,39.8,40.3,39.1,42.2230589
2335A,XERONO,1,14.5,7.5,0,13.1,13.2,13.3,13.4,14.63924754
2335B,APORBR,1,16,8,0,13.2,13.5,14.4,13.6,15.78616688
2335C,CROTLA,1,15.6,6.4,0,10.9,11.1,11.4,11.4,12.8774703
2336,PTYCCO,1,15.6,1.1,15,13.3,13.3,13.3,13.6,15.44369161
2337,DIPTC1,1,15.7,0.7,31.1,31.8,32.8,34.1,35.7,36.35767252
2337A,DIOSNU,1,16.2,0.5,0,11,11.2,11.3,11.6,13.00077666
2338,KNEMMA,1,14.6,0,26.5,25.9,25.9,25.7,26,27.78682698
2339A,ARCHDI,1,8.5,1.2,17.9,18.4,18.5,18.7,19.4,20.83765999
2339B,XYLOM2,1,8.8,1.4,14.2,14.6,16.5,14.6,14.9,16.57774703
2343,MANGQU,2,31.1,2.5,0,11.2,11.2,11.1,0,12.65956648
2341,EUGECL,2,27.8,3.8,31.9,0,0,0,0,3.221064377
2342,SHORM1,2,32.3,2.8,60.6,61.5,61.7,62.6,62.6,64.6124219
2343A,SANTAP,2,31,1.2,0,11.2,12.7,12.9,13,14.61546912
2343B,HORSCR,2,28.5,1,0,11.2,11.8,11.9,12.1,13.59262098
2345,DACRR1,2,33.5,0.4,12.3,12.3,12,11.9,12.1,14.15870773
2346,CLE1SU,2,33.7,2,16.2,16.1,16.1,16.1,16.6,18.03939037
2348,DACRR1,2,29.7,8.9,14.6,13.7,13.9,14.2,14.6,16.21398484
2349,DACRR1,2,22.5,6.6,17.1,17,17.1,17.1,17.2,19.2381723
2349A,DACRR1,2,23.1,6.7,11.5,11.4,11.8,0,0,0.782606712
2349B,APORBR,2,24.1,7.1,0,12.2,12,12.3,12.5,13.79490749
2349C,SHORP1,2,23.5,7,0,10.8,11.8,11.7,12,13.17536958
2350,ARTOIS,2,21.1,8.6,34.6,34.7,34.4,34.2,0,36.07013883
2350A,NEPHOP,2,21.4,6.2,0,0,11,12.1,12.7,14.72428556
2354,HERISI,2,32.1,17.4,11.4,11.3,11.5,11.4,11.5,12.62747335
2355,CHISTO,2,34,19.5,13.2,13.2,13.5,13.9,13.7,15.04841954
2355A,DIPTC1,2,33.2,19,0,10.7,11.1,0,0,-0.395780605
2359,EUGERI,2,37.8,12.8,27.3,0,0,0,0,2.420102089
2361,POMEPA,2,37.4,8.1,58.9,47.1,47.1,48.9,48.9,51.00988453
2361A,PIMEGR,2,38.2,9.6,0,0,14.6,15,15.7,17.29568764
2362,DACRR1,2,36,7.3,18.2,18.6,18.6,18.8,19,20.71719418
2362A,ANI2CO,2,37.1,10.2,0,14.5,14.5,14.7,14.8,15.6129079
2362B,SANTLA,2,35.3,9.8,0,10.9,11,10.8,11,11.8539295
2367,CLE1SU,3,45,2.7,23.2,23.4,23.3,23.2,23.4,25.13318027
2367C,CYNOMA,3,42.5,4.2,0,13.3,14.2,13.6,13.8,14.93546343
2367D,DIPLMA,3,41.4,7,0,0,10.5,11,11.2,13.37330578
