SP,XCO,YCO
SHORP2,1.8,5
MESURA,3.3,5
CANAPA,6,1.8
PAYELU,7.9,4.7
GIROPA,7.6,6.9
MACALO,9.5,6.8
DACRR1,9.7,10.9
MACALO,0,0
KOOMMA,10.7,11.6
NAUCOF,10.5,11.8
SHORL1,3.9,10.8
APORPR,4,12.7
GREWMI,1.6,13.7
MACALO,3.6,10.6
EUGEPE,2.3,11.3
RYPAKU,2.4,18.2
EUGEDE,8.3,15.9
AAAAAA,0,0
IXONIC,9.2,17.8
APORPE,6.7,17.6
APORPE,0,0
GANUSN,17.9,12.4
XYLOM1,18,14.2
ARTOIS,19.5,12.2
APORCO,19.1,12
SHORM1,18.2,12.8
ALANRI,19,11.2
PORTAN,19.1,10.6
SHORP2,18.6,19
DIPTC1,19.7,10.6
MACALO,20,10.5
LITHCU,17.5,4
BUCHSE,15.4,6.1
EUGEFL,14.3,6.4
XERONO,14.5,7.5
APORBR,16,8
CROTLA,15.6,6.4
PTYCCO,15.6,1.1
DIPTC1,15.7,0.7
DIOSNU,16.2,0.5
KNEMMA,14.6,0
KOOMMA,10.4,0.2
ARCHDI,8.5,1.2
XYLOM2,8.8,1.4
MANGQU,31.1,2.5
OCHAAM,22.8,1.3
AAAAAA,0,0
EUGECL,27.8,3.8
SHORM1,32.3,2.8
SANTAP,31,1.2
HORSCR,28.5,1
CALODI,32.5,4.3
DACRR1,33.5,0.4
CLE1SU,33.7,2
IXONIC,28.4,7.7
DACRR1,29.7,8.9
DACRR1,22.5,6.6
DACRR1,23.1,6.7
APORBR,24.1,7.1
SHORP1,23.5,7
ARTOIS,21.1,8.6
NEPHOP,21.4,6.2
AAAAAA,0,0
NEOSKI,29.3,16.5
POL1HY,30.8,15.3
HERISI,32.1,17.4
CHISTO,34,19.5
DIPTC1,33.2,19
DIPTC1,36.8,19.3
MACALO,39.4,17.2
CALODI,39.6,15
EUGERI,37.8,12.8
GARCRO,37.1,13.5
POMEPA,37.4,8.1
PIMEGR,38.2,9.6
DACRR1,36,7.3
ANI2CO,37.1,10.2
SANTLA,35.3,9.8
ACROPO,36.1,4.7
GLUTEL,39.9,2.7
DACRRO,39.5,1.7
CRY1GR,42.3,2.2
CLE1SU,45,2.7
ADENBI,46.9,6.1
APORPR,0,0
CYNOMA,42.5,4.2
DIPLMA,41.4,7
EUGETU,46.2,7.2
MACALO,42.4,12.8
MANGQU,43.2,12.9
CLE1SU,0,0
DIALPL,44.7,11.4
GANUSN,40.4,13.4
CALODI,42,14.8
DACRR1,42.8,17.2
SHORP1,44.4,18.3
EUGEC1,45,16.9
CLE1SU,48,15
MYRICI,49.5,15.8
GARCNE,47.3,15.8
IXONIC,48.9,13.7
EUGEIN,52.3,11.4
OCHAAM,48.7,11.8
BUCHSE,49,12
GREWMI,48,12
SAR1GR,55.6,16.1
RYPAKU,56.2,17
PAYELU,56.6,16.5
CLE1SU,58,12.2
PORTAN,58.8,11.4
CARABR,58.4,7.9
NEOBHE,56.7,4.5
BEILL1,55.2,2.2
MACALO,55,0.6
DIPTC1,63.4,0.4
POMEPA,61,3.5
SCA1SP,69.5,1.8
ALPHEL,61.8,3.3
GIRONE,60.9,4.8
OCHAAM,63.6,6.1
CLE1SU,65.5,4.9
GIRONE,67.5,4.9
SHORP2,70.5,6
GREWMI,71.6,6.5
SHORM1,73.8,6.1
SHOROV,74.2,3.5
KNEMSC,68.2,6.5
APORPR,69.4,7.2
DACRRI,71,7.6
LITHEW,71.5,7
CASTME,68.4,9.1
ALPHMA,71.2,11
XANTEU,71.1,14.3
ALPHMA,67.7,15.7
SHORL1,68.7,18.9
SHORAC,69.1,17.1
ARCHDU,67.8,16.1
MACALO,67.9,16.5
DIOSRU,66.5,15.2
PORTAN,65,16.8
MACALO,63.4,19
DIOSS1,61.1,17.2
DIPLMA,62,15.7
RYPAKU,76.7,13.1
XANTEU,78.8,14.1
PIMEGR,79,13.3
DIPTC1,79.5,12.4
SHORAC,78.5,10.2
ARCHBU,72.9,7.9
LITHEW,79.3,7
CLE1SU,77.9,4.6
KNEMLA,80,3.6
ARCHBU,79,1.4
ALANEB,79.2,1
SHORP1,76,0.4
QUERAR,85.1,5.4
DIPTC1,86.6,5.5
RYPAKU,89.7,5.8
CLE1SU,85.9,8.9
IXONIC,84,7.3
DIOSAP,81,5.4
VATIBE,85.6,13.7
MACALO,82.7,14.7
MANGG1,85,16.3
MACALO,82,19.8
MACALO,86.7,16.8
DACRR2,92.2,17.2
OCHAAM,95.6,17.4
MACALO,95,18.2
ALANEB,95.4,17.2
OCHAAM,92,0.4
SCOLSP,96.5,15.2
KOILLO,94.2,11.7
HORSPS,0,0
DACRR2,98.1,16.3
QUERAR,98,17.1
SHORP2,99.1,19.4
DILLSU,90,19
SCA1SP,98.4,7.7
ATUNEX,96.7,3.3
SHORP2,97.4,2.1
ELATTA,96.1,2.3
PARKSP,99.2,3.5
RYPAAC,93.7,4.3
POL1JE,93.2,2.3
MONOMA,0,0
DIOSSU,92.5,1.2
DIOSBU,91.2,0.5
KOOMMA,80.5,21
DIOSLA,81.6,20.6
GONYMA,84.7,22.3
SHORM2,86.6,24.5
SHORP2,85.8,25.5
ANTICO,81.1,27.4
CRY1GR,80.3,26.9
MACALO,83.2,29.4
MYRIM1,82.4,30.2
XANTRU,80.8,28.2
MACAHY,81.8,30.5
CROTLA,81.6,28
MACALO,86.7,29.3
BHESPA,89.1,29.5
MACACO,81.2,22.2
KNEMFU,86.7,30.2
NEOSKI,88.4,32.1
MACAHY,89.3,31
MEL1FU,89.2,32.7
AIDICO,89.8,34.2
MESUFE,86.8,32.4
SCA2LI,86.4,33
DACRR1,0,0
EUGECL,86.9,33.8
XANTRU,82.9,34.9
XANTEU,82.4,35.7
PAROVA,85.3,38.4
GARCPA,0,0
PAR1OB,85.1,39.4
ARDICO,86,39
DIPTC1,86,39.2
DIPLMA,89.3,37.7
SCA1SP,89.5,36.5
NEOBHE,93,36.6
KNEMSC,81.6,38.5
NEOBHE,81.7,39
CANALL,81.2,39.7
MEL1FU,92.4,35
MEMEO2,93.2,39.8
CYATRA,96.9,37.7
XYLOM2,98.6,36.9
DYERCO,97.8,34.7
EUGESA,98.1,34.2
POL1SU,98.3,31.5
BEILDI,97.4,31.2
SANTLA,93.6,29.9
ARTOIS,94,28.5
MACALO,94.8,26
ARCHBU,97.1,26.6
SANTLA,98.9,23.6
GARCMA,99,22.1
DIPTC1,99.5,26.4
DRYPKI,99.7,21
SANTLA,98.2,20.3
GARCPA,99.6,20.4
MESURA,94.5,20.7
POL1SU,93.4,22.8
EUGERI,93.5,25.4
XERONO,91.3,21.9
MACALO,89.4,23.7
BOUEOP,62.9,22.2
SANDKO,63.7,22
IXONIC,64.4,23.5
XANTEU,71,25.2
GONYMA,0,0
SHORM2,62.6,27
DACRRO,62.2,25.4
SHORP1,64.6,26
CROTLA,64.7,30.9
IXONIC,64.1,33.5
XERONO,66.2,33.9
ALPHEL,71.1,34.1
DIALWA,70.5,35.3
BACCRE,66.4,38.1
ARTOIS,68.3,38.9
KNEMLA,72.5,38.5
AIDICO,69.1,39.2
DACRLA,70.8,34.6
EUGEPR,74,32.8
BACCRE,74.8,35.2
PTYCCO,77,38.9
LANSDO,77.6,36.2
DURIGR,77.4,32.1
LEPISE,78.3,30.7
EUGEKO,74.6,26.7
EUGETU,71.8,27.4
TRI3MA,72,28.6
SHORL1,72,27
DACRR1,77.9,24.6
PALAH2,78.3,22.1
NEPHCO,78,21
SANTLA,79.5,20.4
SHORL1,76.5,20.8
MILLAT,74.5,20.3
SHORP1,47.1,23.6
PORTAN,0,0
SANTLA,48.5,22
DIOSAP,44.6,26.3
XANTEU,47.4,27.3
ALPHEL,48.2,30.2
DACRR1,44.6,29
IXONIC,50,30.3
NAUCOF,40.9,36.9
EUGECL,40.6,32.1
STERPA,41.4,35.4
PIMEGR,40.8,34.8
EUGERI,40.5,30.8
MONOMA,44.5,36.9
IXONIC,41.6,39
VATIBE,45.4,37
SHORM2,46,38.2
CROTLA,47.2,38.5
SHORL2,49,38.9
SHORL1,48.8,38.5
NEPHER,51,38
EUGEDE,52,34.4
CHISER,52.7,34.3
HOPEME,54.1,35.2
XANTEU,55.9,32
MEMEO2,57.9,33.6
MESURA,59.9,36.4
GIROPA,55.2,39.1
APORPR,0,0
KOOMMA,56.7,36.4
SHORL1,54.5,22.5
SHORL1,55.7,22.5
SHORL1,55.4,36.6
CALODI,57,26.7
SHORP1,56.2,28.4
DURIGR,56.5,30
ELAERU,50.3,26
CALODI,58.3,22
HERISI,51,21.5
APORAR,49.5,21
EUGEDE,26.4,20.2
PAYEMA,20.1,20
PAYELU,31.3,20.8
SHORL1,26,24.7
PAYEMA,27.7,24.2
HOPEME,0,0
CYNOMA,25.5,27.9
SYMPC2,20.4,28.7
KOKOOC,23.2,26.6
RYPAKU,21.5,32.9
CROTLA,21.8,31
ATUNEX,24,34.7
LEPISE,24.3,36.9
SHORAC,22,38.4
LITSM2,28.2,39.2
EUGEDE,29.5,34.6
LITHWA,30.7,34.1
MANGQU,35.8,38.7
ELAENI,36.8,33.4
BUCHSE,37.3,33.7
CRY1GR,39,35
ELAEFE,36.5,31
SANTLA,36,30.5
GONYMA,34.9,29.9
IXONIC,38.7,30
APORNE,36.8,23.8
DACRCO,38.5,25.6
PTYCCO,40,21.3
DILLSU,0.7,21.9
CALOTE,8.7,23.2
EUGEC1,7,24.7
LITHCU,3.5,29
HORSPO,3.8,31.1
NEOSKI,1.8,35.1
HORSPS,1,32.4
HUNTZE,0.5,35
XANTAF,0.7,35.7
APORPE,0.6,38.8
CANAPA,0.7,39.3
TRI2MA,2.9,39.8
SANTLA,9.8,37.3
QUERAR,10.3,39.6
AGLAE1,8.5,39.1
DACRRO,8.3,35
DACRR1,12.7,33.1
CROTLA,15.5,35.7
MESUGR,19.5,33.6
EUGEDE,16.2,30.4
GANUSN,19.8,38.7
SANTLA,19.5,38.5
ARTORI,13.1,28.8
KNEMMA,12.3,28.8
DIOSBU,12.4,27.9
EUGEFI,12.3,28
POMEPA,14.1,26
INTSPA,15,27.4
GREWAN,19.1,25.6
MESUGR,16.3,21.5
DIOSAP,16.1,23.6
SHORAC,14.6,21.5
EUGERI,18.1,21.2
KNEMSC,14,21.4
DRYPLO,11.8,20.9
MACALO,7.1,40.3
MACALO,10.6,40.5
SCA1SP,9.4,44.4
BOUEMA,10.5,46
PSYD10,10.8,47.3
EUGENA,11.5,48.5
NEOSKI,13.4,47.8
DACRR1,9.1,47.1
CALOTE,5.2,47.1
CINNIN,1.2,46.7
PTEIEC,2.5,46.2
POL1JE,10.8,48.3
DRYPLO,0.4,45
ARTORI,3,43.8
DIOSAP,0,0
PORTAN,0.5,42.2
IXONIC,3.7,40.4
EUGEPU,3.8,44.4
BEILDI,9.4,57.4
DIALPA,5.1,57.3
EUGEFI,3.3,55.3
SHORP1,1.2,56.2
PAYELU,6.5,56.2
APORAU,5.4,53.4
HERISI,1.3,57.8
XYLOFE,2.5,59.7
MALLPE,12.2,57.8
HORSS2,2.4,57.8
MANGQU,12.8,56
LITSNI,0,0
EUGEPR,13.6,55.4
BOUEMA,14.4,54
XYLOM2,15.1,53.3
CANALR,15.4,57.5
APORBR,17.8,59.2
MADHL1,19,55.3
BEILDI,18,52.9
BEILDI,18,50.9
ARCHCL,15.5,51
PEN1MO,16.5,48.7
XANTAF,16.3,49
KIBAAR,19.5,46.4
KNEMHO,20,45.1
XYLOM2,18.5,43.1
PIMEGR,14.4,41.3
SCA1SP,0,0
RYPAAC,23.6,42
CANALT,24.8,42.3
SHORM2,27.4,42.4
ATUNEX,25.7,44.4
LEPISE,28.2,46.2
DACRR1,27.9,48
EUGEPR,28.5,48.8
ANI1LA,23.4,46.2
ALANRI,21.6,46.1
ANI1LA,25.3,51.9
LEPISE,0,0
LANSDO,23.7,55.2
TRIOMA,25.8,55.2
PYREAC,23.5,57
CALODI,24.5,57.5
SHORP2,24.2,58
APORBR,28.3,56.2
EUGESU,28.4,57.4
GREWMI,31.2,57.4
IXONIC,31.9,56.5
ANI1LA,33,55.6
MESUGR,36,56.7
KNEMLA,37.6,58.7
BACCPY,38.7,56.7
SANDKO,34.3,49.2
DACRR1,36.2,57
SCA1SP,35.2,48.2
MEL1AU,35.2,47
MACALO,35.5,46.4
CROTLA,36.6,47.2
BEILKU,34.7,45.9
RYPAAC,32,46.7
ALANRI,31.6,49.8
CANALR,30.9,43.5
EUGEO1,30.8,40.4
DIOSBU,20.4,44.2
AAAAAA,0,0
MILLAT,0,0
SHORM1,38.1,41.1
DACRR1,42.4,42.7
DIOSBU,44.4,40.1
CANTDI,46.7,41.5
LITHCU,47.7,43.4
XANTAM,47.7,45.1
DIPTC1,48.4,45.1
MACALO,52.7,44.2
MACALO,53.1,45.7
POL1OB,54.3,44.5
SYMPC2,47.7,48.3
BUCHSE,50.1,48.6
KOILLO,49.3,51.3
PTYCCO,52.3,51.7
CROTLA,0,0
XANTEU,46.4,54.9
ARCHBU,44.5,54.2
CROTLA,42.4,53.2
AIDIWA,42,51.5
TRI3LA,41.3,55.1
SANTAP,42,59.4
TRI3LA,40.2,59
PTYCCO,45.4,59.7
SHORAC,44.8,58.3
MESUFE,57.3,57.3
SHORL1,54.1,56.3
DACRR1,53.8,58.4
POMEPA,58,40.3
LEPISE,58.3,46.3
DIOSAP,57.3,41.7
KOOMMA,56.8,41.8
DIPLMA,60.4,50.4
MACALO,78.3,49.7
QUERAR,64.9,43.1
CALOMA,0,0
LITHCU,61.7,53
AAAAAA,62.4,48.3
SAPIBA,62.6,50.2
EUGERI,63,53.1
DIPTC1,65.8,52.5
VATIBE,66.7,52.1
DIOSSI,67.7,51.1
PAR1OB,64.5,54.5
GIRONE,66.1,55.1
ARCHBU,69.9,50.1
SANDKO,72.7,48.2
LITHCU,69.2,48
GYNOAX,66.5,47.5
BEILDI,67.2,50
MYRIM3,66,59.5
GLUTM2,73.4,52.3
RYPAKU,72.6,50.5
PIMEGR,72.5,52
SHORM2,71.4,52.2
ORMOPE,75.5,48.4
NEOBHE,0,0
CANAPA,71.6,54.9
NAUCOF,75.9,47.3
DIPLMA,77.6,55.3
