SPECIES,XCO,YCO,DBH2023,GROWTH2123,CLASS2023
DACRR1,9.7,10.9,20,-0.1,4
APORCO,19.1,12,12.8,0,3
ALANRI,19,11.2,15.1,-0.3,3
PORTAN,19.1,10.6,12.3,-0.1,3
MACALO,20,10.5,12.6,0,3
EUGEFL,14.3,6.4,38.9,-0.2,5
PTYCCO,15.6,1.1,13.2,-0.4,3
KNEMMA,14.6,0,25.9,-0.1,4
DACRR1,33.5,0.4,12,-0.1,3
DACRR1,29.7,8.9,14.6,0,3
DACRR1,22.5,6.6,17.2,0,3
HERISI,32.1,17.4,11.5,0,3
SANTLA,35.3,9.8,11,0,3
CLE1SU,45,2.7,23.4,0,4
CLE1SU,58,12.2,13.8,-0.1,3
APORPR,69.4,7.2,11.7,0,3
SHORL1,68.7,18.9,9.2,-5.3,2
MACALO,67.9,16.5,11,0,3
XANTEU,78.8,14.1,14.8,0,3
DIOSAP,81,5.4,18.5,0,3
OCHAAM,95.6,17.4,13.6,-1.3,3
ALANEB,95.4,17.2,11,0,3
OCHAAM,92,0.4,10.4,-0.1,3
ELATTA,96.1,2.3,11.1,-0.1,3
SANTLA,98.2,20.3,30.3,-0.4,5
GARCPA,99.6,20.4,11.6,-0.2,3
SANTLA,48.5,22,11.8,-0.1,3
DURIGR,56.5,30,11.8,0,3
DIALPA,5.1,57.3,17.5,0,3
KNEMLA,37.6,58.7,11.6,0,3
DACRR1,36.2,57,10.5,0,3
SCA1SP,35.2,48.2,11.6,-0.3,3
CROTLA,36.6,47.2,10.9,0,3
PTYCCO,45.4,59.7,12.3,0,3
PAROVA,78.8,57.8,22.1,0,4
GARCMA,84.4,59.2,9.6,-1.8,2
TEIJCO,99.4,41.8,14,-1.3,3
VATIOD,97,44.6,10.4,-1.6,3
SHORM2,93,44.4,13.9,-2.7,3
XANTEU,90.4,70.2,12,-0.5,3
XANTEU,84.8,69.7,12,0,3
KNEMST,87.8,78.9,30.3,-0.1,5
CYATRA,69.5,60.7,21.4,-2.4,4
BARRPE,43.1,75.9,17.3,0,3
GIROPA,48.4,71.7,11.3,0,3
ANTICO,57.8,73.4,20.3,0,4
PAYELU,54,76,12.2,0,3
PAROVA,58.5,68.4,14.5,0,3
ARTOKE,26.2,75.4,10.2,-1,3
DIPTC1,37.4,66.2,12.7,0,3
MANGQU,4.5,62.7,12,0,3
SCA1SP,18.8,65.2,10.8,0,3
MADHCU,14,62.4,10.8,0,3
CYNOMA,5,84.2,8,-2,2
MEMEEX,0.6,83.5,11.1,0,3
APORBR,35.5,90,12.4,0,3
KNEMMA,40.1,93.7,35.6,0,5
MIC1CA,51.4,95.4,10.7,0,3
AGLASP,54.6,97.8,11.9,0,3
TIMOWA,67.6,81.4,14.2,0,3
ALANRI,90.8,80.7,11.6,0,3
ELLATA,80.4,93.4,11,0,3
EUGEC1,83.4,96.1,16,-2,3
INTSPA,91.4,93.7,23.8,0,4
XERONO,99.8,93,11.2,-0.4,3
PTYCCO,89.4,108.7,10.9,0,3
ALANRI,64.2,104.1,13.1,0,3
DACRR1,62.2,101.8,10.6,-0.1,3
SHORM2,68.3,104.2,26,-0.4,4
SHORM2,44.3,115.9,14.8,0,3
DACRR1,31.8,100.1,19.3,0,3
XANTEU,35.1,115.3,12.5,-0.1,3
PALAH2,39.7,117.6,27.8,0,4
NEPHER,39,109.4,25.7,-2.6,4
DURIGR,3.2,102.9,28.5,-0.2,4
RYPAKU,1.4,137.3,12,-0.2,3
CASTME,3.3,138,14.3,0,3
MEMEMI,11.5,138.2,10.5,-0.1,3
DURIGR,17.7,121.5,15,0,3
XANTEU,20,120,13.2,0,3
MONOMA,83,149,18.9,0,3
SARADE,92.7,157.6,30.7,-0.1,5
SARADE,93.3,154,26,-2.7,4
XANTST,67.6,145.2,21.3,0,4
BACCKU,73.8,148.2,13,0,3
SANTTO,40.5,140.4,21.4,-2.2,4
EUGECL,43.6,144.2,13.6,-1,3
PORTAN,22.8,153.5,16.9,-0.5,3
MONOMA,5,152.2,10,-0.1,3
XANTST,2,171.3,16.7,0,3
HOPEME,28.4,163.8,23,-1,4
POMEPA,43.7,168.4,13.8,0,3
PTEREC,45.8,172.7,25.4,0,4
DIPTC1,52.9,177,11,0,3
SHORP2,52.4,177,12.7,-0.1,3
BACCRE,59.1,171,19.4,-0.2,3
KIBAAR,59.9,165,12.7,0,3
PORTAN,65,172,11.4,-0.2,3
DACRR1,73.3,173.5,10.8,-1,3
APORAU,74.4,170.4,10.6,0,3
ALANEB,74.1,169,10.7,-0.1,3
CYNOMA,85.4,168.3,12.6,-1.5,3
SARADE,86.1,179.1,16.2,-0.1,3
SARADE,87.5,171.7,17.1,-0.2,3
SARADE,95.9,177.1,14.2,-0.1,3
SARADE,95.6,178.4,32.1,-0.1,5
SARADE,87.8,184.7,19.2,0,3
SARADE,94.5,192,16.4,0,3
SARADE,87.8,199.8,10,-0.1,3
SARADE,93,180.4,15.8,0,3
SARADE,92.4,181.9,15.7,0,3
EUGEDE,62.7,196.4,12.1,0,3
EUGEDE,63.1,193.2,12.6,0,3
APORBR,61.3,199.8,11.7,-0.1,3
PTYCCO,77.4,188.2,16.9,0,3
KNEMCU,68.6,189.6,13.7,0,3
CYNOMA,49.7,199.3,20,0,4
PORTAN,31.9,191,16.2,0,3
